Level,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer,Explanation
Beginner,What is a stock?,A share in a company,A type of bond,A savings account,A government security,A,A stock represents ownership in a company.
Beginner,Which of the following is the least risky investment?,Stocks,Bonds,Savings Account,Cryptocurrency,C,Savings accounts are insured and do not fluctuate in value.
Beginner,What does diversification in investing mean?,Putting all money in one stock,Spreading investments across assets,Investing only in real estate,Buying the same stock multiple times,B,Diversification helps reduce risk by spreading investments.
Beginner,What is a dividend?,A loan to a company,A portion of a company’s profits paid to shareholders,The interest on a bond,A government tax,B,A dividend is a share of a company’s earnings distributed to shareholders.
Beginner,Which investment typically has the highest long-term return?,Bonds,Savings Accounts,Stocks,Gold,C,Stocks historically provide the highest long-term returns.
Beginner,What is an ETF?,Exchange-Traded Fund,Equity Trading Facility,Electronic Trading Forum,Economic Transfer Fund,A,ETFs are investment funds traded on stock exchanges.
Beginner,Which of the following is an asset class?,Stocks,Bonds,Real Estate,All of the above,D,All listed options are asset classes.
Beginner,What does liquidity mean in investing?,How easily an asset can be converted to cash,The profitability of a company,The rate of return on an investment,A company's debt level,A,Liquidity refers to how quickly an investment can be sold for cash.
Beginner,What does 'bull market' refer to?,A market with rising prices,A market with falling prices,A stagnant market,A highly volatile market,A,A bull market is characterized by rising stock prices.
Beginner,What is an IPO?,Initial Public Offering,International Profit Order,Investment Portfolio Option,Internal Pricing Operation,A,An IPO is the first sale of a company’s stock to the public.
Beginner,What is compound interest?,Interest calculated on initial principal,Interest on both principal and accumulated interest,A one-time interest payment,Interest on loans only,B,Compound interest earns interest on both principal and prior interest.
Beginner,What is an index fund?,A fund that tracks a market index,A type of hedge fund,A high-risk investment,A fund that only invests in bonds,A,Index funds track a stock market index like the S&P 500.
Beginner,Which of these investments is the most volatile?,Bonds,Stocks,Savings Account,Real Estate,B,Stocks tend to be more volatile than other asset classes.
Beginner,What is a blue-chip stock?,A high-risk stock,A well-established and financially stable company,A newly issued stock,A stock in a tech company,B,Blue-chip stocks are shares of large reputable companies.
Beginner,What is a mutual fund?,A collection of stocks and bonds managed by professionals,A type of savings account,A fixed-interest investment,A cryptocurrency,A,Mutual funds pool money from investors to buy securities.
Beginner,What does ROI stand for?,Return on Investment,Rate of Inflation,Registered Offer of Investment,Return of Interest,A,ROI measures profitability as a percentage of investment cost.
Beginner,What is a bond?,A loan to a government or corporation,Partial ownership of a company,A high-risk investment,An insurance policy,A,A bond represents a loan made by an investor to a borrower.
Beginner,What does risk tolerance mean?,How much risk an investor can handle before selling,The number of stocks in a portfolio,The time horizon of an investment,The level of taxation on an investment,A,Risk tolerance is the level of risk an investor is comfortable with.
Beginner,What is a brokerage account?,An account to buy and sell investments,A retirement savings account,A government bond investment,An account for holding real estate,A,Brokerage accounts allow investors to trade securities.
Beginner,What is inflation?,The increase in general price levels over time,The rise of the stock market,The interest rate charged by banks,The expansion of an economy,A,Inflation reduces purchasing power by increasing prices.
Intermediate,What is the P/E ratio?,Price divided by earnings,Profit per equity,Portfolio efficiency ratio,Price elasticity,A,The price-to-earnings (P/E) ratio helps evaluate stock valuation.
Intermediate,What does a high P/E ratio indicate?,The stock may be overvalued,The stock is paying high dividends,The company is in debt,The stock is undervalued,A,A high P/E ratio suggests investors expect high growth or overvaluation.
Intermediate,If an investment grows at 6% annually how long will it take to double?,12 years,15 years,10 years,8 years,B,Using the Rule of 72 72/6 = 12 years approximately.
Intermediate,What is the main advantage of ETFs over mutual funds?,Lower fees,Higher returns,No market risk,Guaranteed dividends,A,ETFs typically have lower expense ratios than mutual funds.
Intermediate,Which factor does NOT affect bond prices?,Interest rates,Company performance,Inflation,Credit rating,B,Company performance is more relevant to stocks than bonds.
Intermediate,What does 'market capitalization' mean?,Total value of a company's shares,A company’s annual profit,A company’s debt level,The number of shares issued,A,Market cap is the total value of all outstanding shares.
Intermediate,What is dollar-cost averaging?,Investing a fixed amount regularly,Buying stocks in bulk,Selling stocks at a fixed price,Timing the market,A,Dollar-cost averaging reduces the impact of market volatility.
Intermediate,What is a bond yield?,The return on a bond investment,The bond’s price,The credit rating of a bond,The government’s bond interest rate,A,Bond yield is the return investors earn from a bond.
Intermediate,What is a stock split?,Increasing the number of shares,Merging two stocks,A company reducing its market cap,When a company issues dividends,A,A stock split increases shares while maintaining market value.
Intermediate,What does short selling mean?,Betting a stock will decline in price,Buying stocks for the long term,Investing in foreign stocks,Selling stocks at a loss,A,Short selling profits from a declining stock price.
Intermediate,Which indicator measures market volatility?,VIX,S&P 500,P/E Ratio,NASDAQ,A,The VIX is known as the 'fear gauge' and tracks volatility.
Intermediate,What does ROI stand for?,Return on Investment,Rate of Inflation,Registered Offer of Investment,Return of Interest,A,ROI measures profitability as a percentage of investment cost.
Intermediate,What is an expense ratio?,The fee charged by a mutual fund,The difference between bid and ask prices,The interest paid on a loan,The dividend payout ratio,A,Expense ratios are fees mutual funds charge investors.
Intermediate,What is a limit order?,An order to buy or sell at a specific price,A market order,A short-sell order,A stop-loss order,A,A limit order ensures an investor buys/sells at a set price.
Intermediate,What is the primary risk in bond investing?,Interest rate risk,Company bankruptcy,Stock market fluctuations,Exchange rate risk,A,Bond prices move inversely to interest rates.
Intermediate,What does beta measure in investing?,Market risk,Profitability of a stock,Stock dividend payments,A company's revenue,A,Beta measures how a stock moves relative to the market.
Intermediate,What is fundamental analysis?,Analyzing a company's financials and industry position,Studying past price movements of a stock,Using algorithms for trading,Comparing stock prices to bonds,A,Fundamental analysis focuses on a company’s financial health and business performance.
Intermediate,What is a stop-loss order?,An order to sell a stock at a set price,A limit order for dividends,A bond pricing method,A short-selling strategy,A,A stop-loss order prevents major losses by automatically selling at a specific price.
Intermediate,Which type of bond is the safest investment?,Corporate bonds,High-yield bonds,Municipal bonds,U.S. Treasury bonds,D,U.S. Treasury bonds are backed by the federal government and are considered very safe.
Intermediate,What does diversification help with?,Increasing risk,Minimizing risk by spreading investments,Maximizing short-term profits,Reducing taxes,B,Diversification reduces investment risk by spreading money across different assets.
Advanced,What is beta in stock investing?,A measure of risk compared to the market,The expected return of a stock,The profit margin of a company,The dividend payout ratio,A,Beta measures a stock’s volatility relative to the market.
Advanced,What does a beta of 1.5 indicate?,The stock is less volatile than the market,The stock moves 50% more than the market,The stock is uncorrelated with the market,The stock moves opposite to the market,B,A beta of 1.5 means the stock moves 50% more than the market.
Advanced,Which metric best measures a company’s profitability?,P/E Ratio,EBITDA Margin,Current Ratio,Market Cap,B,EBITDA Margin shows earnings before interest taxes depreciation and amortization.
Advanced,A company has a debt-to-equity ratio of 2. What does this mean?,The company has twice as much debt as equity,The company is debt-free,The company's assets equal its liabilities,The company has no retained earnings,A,A ratio of 2 means debt is twice as large as equity.
Advanced,Which valuation method best suits startups?,Discounted Cash Flow,P/E Ratio,Dividend Discount Model,Venture Capital Method,D,The Venture Capital Method is often used for valuing startups.
Advanced,What is alpha in investment analysis?,The excess return relative to the market,The risk-free rate of return,The standard deviation of returns,The correlation with the market,A,Alpha measures the return above a benchmark index.
Advanced,What is the Sharpe Ratio?,A measure of risk-adjusted return,A measure of stock volatility,The ratio of assets to liabilities,A government bond rating,A,The Sharpe Ratio evaluates risk-adjusted returns.
Advanced,Which of these is an example of a contrarian investment strategy?,Following the trend,Buying when others are fearful,Selling before a market crash,Only investing in growth stocks,B,Contrarian investors buy when markets are fearful.
Advanced,What does a negative Sharpe Ratio indicate?,The risk-free rate is too high,The investment has performed worse than risk-free assets,The investment has no volatility,The market is declining,B,A negative Sharpe Ratio means the return is lower than a risk-free investment.
Advanced,What is the difference between technical and fundamental analysis?,Technical looks at price movements; fundamental looks at financials,Both focus on past price movements,Fundamental analysis focuses only on macroeconomics,Technical analysis relies on economic reports,A,Technical uses price movements; fundamental looks at company financials.
Advanced,What is a leveraged buyout (LBO)?,Acquiring a company using mostly debt,Buying shares using margin,Short selling a stock,Investing in only high-yield bonds,A,An LBO is a company acquisition funded primarily by debt.
Advanced,Which of the following is NOT a common valuation metric?,EV/EBITDA,P/E Ratio,P/B Ratio,Dividend Yield,D,Dividend Yield measures income not valuation.
Advanced,What is a market-neutral strategy?,Taking long and short positions to reduce market exposure,Investing only in bonds,Following a passive investment strategy,Only buying ETFs,A,Market-neutral strategies hedge against market risk.
Advanced,What does the term 'liquidity premium' refer to?,Higher returns required for less liquid investments,The extra cost of converting cash to investments,The interest rate paid on corporate bonds,The price premium of large-cap stocks,A,Investors demand higher returns for assets that are harder to sell.
Advanced,Which risk is most relevant for international investors?,Credit risk,Inflation risk,Exchange rate risk,Beta risk,C,Exchange rate fluctuations impact international investments.
Advanced,Which financial metric helps assess a company’s efficiency?,Debt-to-equity ratio,Return on Assets (ROA),Dividend payout ratio,Earnings per share (EPS),B,Return on Assets measures how efficiently a company uses its assets.
Advanced,What does a high Price-to-Book (P/B) ratio indicate?,The stock is undervalued,The company has no debt,Investors are willing to pay more than book value,The company is in financial distress,C,A high P/B ratio suggests investors see strong growth potential.
Advanced,What is a put option?,A contract giving the right to sell an asset at a set price,A contract giving the right to buy an asset,A strategy to profit from rising prices,A way to hedge against interest rate risk,A,Put options allow selling at a predetermined price.
Advanced,What is an inverted yield curve a potential indicator of?,Economic expansion,An upcoming recession,Higher inflation,Falling stock prices,B,An inverted yield curve often signals a recession.
Advanced,What is a hedge fund?,A private investment fund with flexible strategies,A type of mutual fund,A fund that only invests in real estate,A government-regulated fund,A,Hedge funds use various strategies to generate high returns.
